index,key,time_ns,steps,deleted
0,297950,5750,24,1
1,2806,2625,28,1
2,340882,1958,28,1
3,1641,1208,29,1
4,279474,2000,23,1
5,737450,1542,25,1
6,915216,1375,26,1
7,50069,3417,31,1
8,156783,1292,24,1
9,600557,1333,25,1
10,915701,1166,25,1
11,400081,2833,30,1
12,579078,1459,24,1
13,309031,1583,26,1
14,376418,1959,22,1
15,953208,1458,21,1
16,398383,1625,25,1
17,973673,2500,25,1
18,338335,1500,21,1
19,468882,1500,23,1
20,739486,1666,25,1
21,728717,1333,24,1
22,515828,1667,28,1
23,82660,1334,22,1
24,862277,1208,14,1
25,610949,1375,25,1
26,746455,1417,23,1
27,136075,1375,26,1
28,514427,1833,28,1
29,910386,1542,24,1
30,246630,1542,24,1
31,938982,1459,21,1
32,759621,1750,26,1
33,676503,1292,22,1
34,13369,1125,22,1
35,542896,1625,24,1
36,588957,1500,28,1
37,942190,1375,23,1
38,826868,1584,28,1
39,731106,1417,23,1
40,523060,1375,27,1
41,483221,1500,25,1
42,965940,1042,17,1
43,485855,1625,28,1
44,908537,1417,25,1
45,766537,1667,25,1
46,230020,1166,23,1
47,800962,1250,23,1
48,805968,1375,25,1
49,861575,1167,23,1
50,791616,1375,21,1
51,576803,1541,23,1
52,770926,1500,26,1
53,601762,1209,22,1
54,939310,1291,23,1
55,766438,1333,28,1
56,920342,1042,21,1
57,783998,1333,25,1
58,15441,1750,27,1
59,673972,1417,25,1
60,817019,1542,25,1
61,53326,1292,26,1
62,695613,1334,25,1
63,21216,1167,27,1
64,808240,1500,25,1
65,340465,1250,22,1
66,51296,1250,28,1
67,101884,1166,20,1
68,893086,1250,22,1
69,821875,1791,29,1
70,429400,1500,21,1
71,387152,1375,26,1
72,243119,1416,24,1
73,73200,1125,25,1
74,416225,1417,25,1
75,118424,1208,24,1
76,86432,1542,26,1
77,495037,1375,25,1
78,663647,1459,24,1
79,943611,1250,20,1
80,724088,1667,25,1
81,70836,1292,25,1
82,229472,1375,26,1
83,977344,1292,22,1
84,775754,1084,20,1
85,788388,1250,26,1
86,385398,1667,27,1
87,335040,1334,24,1
88,628438,1458,23,1
89,471030,1541,27,1
90,491466,1292,24,1
91,298831,2125,26,1
92,383543,1250,24,1
93,483368,1458,28,1
94,682760,1291,24,1
95,709642,1625,23,1
96,582317,1375,22,1
97,578444,1459,25,1
98,477451,1250,24,1
99,573620,1417,25,1
100,564740,1459,25,1
101,590654,1625,25,1
102,687555,1333,24,1
103,945170,1250,24,1
104,789360,1458,28,1
105,964579,1167,22,1
106,287287,1291,25,1
107,810892,1166,21,1
108,920102,1333,24,1
109,507775,1250,21,1
110,247232,1209,23,1
111,571016,1333,25,1
112,997503,1583,20,1
113,994764,1042,19,1
114,858137,1459,26,1
115,261251,1750,25,1
116,385605,1292,26,1
117,813865,1500,24,1
118,208574,1500,28,1
119,892932,1375,25,1
120,122344,1291,26,1
121,166317,1375,27,1
122,313922,1250,26,1
123,414813,1375,26,1
124,694664,1375,26,1
125,363252,1334,26,1
126,712527,1375,23,1
127,153012,1708,28,1
128,717645,1500,26,1
129,6946,1208,27,1
130,962527,1375,20,1
131,599122,1416,25,1
132,332442,1125,22,1
133,371107,1333,22,1
134,577080,1292,26,1
135,474380,1334,23,1
136,874626,1292,24,1
137,916579,1375,22,1
138,600535,1500,26,1
139,348322,1333,26,1
140,286707,1209,24,1
141,608094,1708,28,1
142,73808,1250,27,1
143,858131,1333,26,1
144,113133,1833,25,1
145,163282,1250,20,1
146,838770,1250,23,1
147,983355,1375,20,1
148,322452,1208,21,1
149,195693,1250,23,1
150,344433,1292,27,1
151,249186,1375,28,1
152,637968,1250,25,1
153,846827,1416,26,1
154,33165,1375,29,1
155,669990,1750,27,1
156,708030,1250,24,1
157,406225,1292,24,1
158,679415,1459,25,1
159,278086,1542,27,1
160,497127,1333,26,1
161,125711,1250,24,1
162,786554,1000,17,1
163,693151,1292,26,1
164,574780,1292,24,1
165,120021,1375,23,1
166,565493,1333,27,1
167,244316,1333,25,1
168,771524,1459,28,1
169,636031,1416,28,1
170,425801,1292,23,1
171,6688,1333,28,1
172,385549,1084,24,1
173,177194,1333,27,1
174,727745,1375,26,1
175,578117,1000,20,1
176,712731,1333,21,1
177,811260,1542,25,1
178,934954,1208,24,1
179,592961,1166,24,1
180,845665,1333,24,1
181,786610,1167,27,1
182,581129,1292,25,1
183,159494,1208,21,1
184,644719,1334,26,1
185,949315,1208,21,1
186,840347,1667,24,1
187,325237,1375,23,1
188,448480,1375,23,1
189,551364,1375,25,1
190,519390,1500,28,1
191,178853,1375,26,1
192,108014,1375,25,1
193,791646,1334,24,1
194,620645,1416,25,1
195,263551,1458,23,1
196,477080,1542,24,1
197,574252,1417,24,1
198,135048,1375,24,1
199,491898,1333,24,1
200,189118,1375,28,1
201,284686,1625,24,1
202,383011,1500,27,1
203,612402,1500,24,1
204,730918,1333,22,1
205,746386,1250,21,1
206,868171,1333,22,1
207,546013,1542,23,1
208,365974,1625,25,1
209,259410,1416,25,1
210,973556,1541,25,1
211,538290,1416,23,1
212,510512,1750,29,1
213,556117,1375,24,1
214,762848,1416,23,1
215,997068,1250,19,1
216,625114,1334,23,1
217,171743,1291,28,1
218,821274,1500,26,1
219,361889,1458,28,1
220,209506,1917,29,1
221,613887,1334,23,1
222,436741,1917,24,1
223,9718,1583,28,1
224,553350,1416,24,1
225,63183,1500,26,1
226,818911,1708,24,1
227,94783,1459,26,1
228,114120,1375,23,1
229,453874,1416,25,1
230,908880,1416,23,1
231,717270,1541,27,1
232,889174,1583,26,1
233,548737,1416,24,1
234,953814,1416,24,1
235,332126,1333,23,1
236,138891,1375,23,1
237,808689,1292,25,1
238,452918,1459,26,1
239,34678,1375,25,1
240,958862,1333,22,1
241,118549,1291,26,1
242,780763,1458,25,1
243,62536,1334,26,1
244,708341,1208,22,1
245,843707,1375,26,1
246,146584,1375,23,1
247,889054,1458,25,1
248,509463,1334,25,1
249,410781,1541,29,1
250,206013,1583,29,1
251,149150,1459,22,1
252,309223,1542,29,1
253,419454,1416,26,1
254,11992,1375,28,1
255,454780,6416,29,1
256,480103,1542,25,1
257,913630,1750,24,1
258,384124,1334,26,1
259,291477,1291,22,1
260,625174,1291,22,1
261,215781,1041,21,1
262,174390,1458,27,1
263,590526,1625,28,1
264,293367,1416,23,1
265,812234,1500,25,1
266,290422,1250,24,1
