index,key,time_ns,steps
0,670488,2708,1
1,116740,2583,4
2,26226,1334,6
3,777573,750,3
4,288390,667,6
5,256788,375,7
6,234054,458,9
7,146317,375,10
8,772247,416,6
9,107474,3583,26
10,709571,1125,8
11,776647,917,7
12,935519,2500,8
13,571859,2167,12
14,91162,4125,25
15,619177,666,9
16,442418,500,11
17,33327,584,10
18,31245,1458,15
19,98247,3666,20
20,229259,500,10
21,243963,541,9
22,529904,2542,25
23,631263,625,12
24,27825,541,11
25,588509,625,8
26,208497,1125,16
27,750801,1375,13
28,681454,1000,14
29,735393,1875,21
30,571413,916,14
31,439899,1875,27
32,231149,875,16
33,471030,750,13
34,617890,792,13
35,291705,1542,26
36,848750,625,9
37,911528,625,9
38,6815,1625,28
39,795668,958,15
40,844963,4625,37
41,167415,833,10
42,732053,750,13
43,443144,750,15
44,356779,708,13
45,291370,1917,29
46,163033,667,13
47,225773,1834,29
48,800582,708,11
49,352945,750,12
50,107176,666,12
51,97252,958,18
52,398383,709,16
53,101415,959,17
54,376418,958,21
55,888663,667,10
56,360664,875,21
57,633053,750,13
58,277371,2292,35
59,846336,916,12
60,45562,3500,44
61,765180,1750,25
62,481742,958,17
63,562276,875,16
64,130890,750,13
65,967097,1000,12
66,396923,1667,30
67,82628,792,14
68,578857,750,13
69,307420,709,14
70,869694,875,18
71,659177,875,17
72,648565,2041,31
73,928464,3541,38
74,903566,708,12
75,379202,750,15
76,605398,708,12
77,201630,791,16
78,738798,708,13
79,72934,1000,20
80,48051,1708,30
81,693385,750,13
82,238969,750,14
83,810621,791,13
84,303446,1000,20
85,83668,666,16
86,896866,875,16
87,244099,708,12
88,908574,875,13
89,105908,708,15
90,398592,917,16
91,291477,1750,27
92,475436,917,16
93,666564,875,20
94,874629,1667,28
95,382555,1584,29
96,170556,3083,45
97,388163,708,13
98,372529,667,10
99,219685,750,12
100,702730,916,17
101,279947,791,14
102,735912,1000,18
103,982154,708,8
104,716752,1750,31
105,679515,1000,21
106,74871,792,13
107,638721,2208,33
108,665823,792,16
109,179452,917,20
110,560087,709,15
111,764545,750,14
112,256703,709,11
113,171340,1625,30
114,484715,959,21
115,397888,958,14
116,283061,917,17
117,970343,750,11
118,671089,1000,16
119,721591,917,18
120,584005,958,20
121,230284,709,15
122,717871,2000,34
123,340036,708,11
124,883795,709,12
125,805636,1541,28
126,813695,750,11
127,58656,4208,42
128,240175,1041,21
129,861723,666,13
130,33660,709,16
131,844152,2916,37
132,330777,1666,27
133,420652,792,14
134,280747,1667,28
135,69404,917,15
136,221232,709,13
137,957493,958,17
138,988713,1583,22
139,594732,2166,31
140,918939,750,11
141,752788,792,14
142,329964,834,13
143,222956,959,16
144,687278,958,19
145,523482,1000,22
146,414851,2000,33
147,927658,958,14
148,958973,750,13
149,674080,2125,36
150,481142,3041,42
151,149812,791,15
152,277747,750,15
153,146414,1000,19
154,258608,1000,21
155,781178,834,12
156,588638,792,11
157,565159,875,14
158,275505,917,21
159,783301,750,13
160,612983,750,15
161,449246,750,16
162,941436,1000,19
163,611879,958,20
164,418802,750,12
165,379581,834,16
166,229975,2000,36
167,145052,1958,37
168,534278,750,12
169,517489,1000,20
170,95326,833,16
171,792496,958,16
172,49406,2875,42
173,902932,708,11
174,114976,958,18
175,160266,750,16
176,657925,1000,22
177,167754,1041,17
178,830556,833,16
179,713537,750,12
180,442667,750,10
181,625381,1833,32
182,66614,833,16
183,403458,959,18
184,400157,1875,32
185,624835,917,18
186,490786,4333,56
187,554817,917,16
188,263627,1125,23
189,580100,1083,23
190,902593,1709,26
191,988211,875,12
192,12039,1125,23
193,713329,1042,18
194,755732,2042,36
195,120117,1750,28
196,714826,833,17
197,927768,875,10
198,563055,875,19
199,787353,917,16
200,279787,1167,19
201,805935,833,15
202,672098,958,16
203,356700,875,18
204,116971,792,19
205,307758,1125,18
206,455885,1083,23
207,165841,1083,22
208,475764,958,20
209,3403,1750,34
210,757169,875,14
211,918399,791,15
212,754640,1166,20
213,276184,2000,37
214,524903,1125,23
215,798976,1125,22
216,187331,833,17
217,532343,2791,32
218,956960,3125,40
219,111580,875,18
220,912805,1042,21
