index,key,time_ns,steps,found
0,902518,5834,20,1
1,229975,2042,24,1
2,500906,1958,23,1
3,386245,1041,17,1
4,611681,7167,23,1
5,111091,1416,19,1
6,723469,1417,20,1
7,706005,1583,23,1
8,870069,1917,21,1
9,365649,1708,25,1
10,574994,1459,23,1
11,657387,2000,25,1
12,66341,1708,24,1
13,340678,1333,20,1
14,829925,2209,26,1
15,358389,1333,26,1
16,654814,1208,24,1
17,64634,833,22,1
18,872566,1250,24,1
19,340425,833,17,1
20,113001,1167,19,1
21,822073,1208,24,1
22,322824,959,18,1
23,391436,1416,26,1
24,549526,875,15,1
25,987220,750,12,1
26,635771,1541,26,1
27,636130,1375,25,1
28,994778,1292,19,1
29,668170,1708,24,1
30,971367,1000,17,1
31,154000,1625,23,1
32,751764,1375,27,1
33,194852,1375,20,1
34,823893,1083,25,1
35,286887,1250,20,1
36,360664,875,19,1
37,179452,1417,26,1
38,832464,1333,26,1
39,764606,1084,24,1
40,128595,1500,24,1
41,616483,1209,24,1
42,246175,1041,19,1
43,108585,1166,25,1
44,954852,958,18,1
45,729631,1209,22,1
46,386832,1041,25,1
47,903340,1041,22,1
48,692283,1500,22,1
49,115831,1333,24,1
50,136393,1375,26,1
51,128480,1000,24,1
52,292137,1458,24,1
53,336242,750,15,1
54,566457,1292,24,1
55,108014,1125,24,1
56,867162,1416,23,1
57,567651,1083,23,1
58,287783,667,16,1
59,378222,959,21,1
60,473859,1125,21,1
61,215566,1250,24,1
62,585473,1250,24,1
63,367122,1375,25,1
64,40116,1417,25,1
65,949116,750,14,1
66,90899,1250,24,1
67,146414,1209,23,1
68,85462,1292,26,1
69,197637,1375,24,1
70,738727,1209,24,1
71,592355,1375,25,1
72,332696,1708,21,1
73,711257,916,18,1
74,556830,1458,25,1
75,212560,1042,25,1
76,757169,1334,25,1
77,730181,1375,24,1
78,565622,875,19,1
79,449113,1208,20,1
80,901951,1250,22,1
81,720142,1292,24,1
82,849885,1083,24,1
83,988211,1083,22,1
84,877634,1250,20,1
85,753505,875,21,1
86,127886,1083,25,1
87,470051,1250,22,1
88,241100,1292,23,1
89,32538,708,17,1
90,638552,1125,25,1
91,755563,1167,24,1
92,42289,1167,23,1
93,32700,1084,26,1
94,822459,916,22,1
95,405299,1375,25,1
96,649841,1250,24,1
97,326054,1125,25,1
98,944276,1042,23,1
99,584414,1208,24,1
